"pick_number","name","code","year","all_star","all_nba1","all_nba2","all_nba3"
40,"Möttölä,Hanno","mottoha01",2000,0,0,0,0
41,"Carrawell,Chris",NA,2000,0,0,0,0
42,"Oyedeji,Olumide","oyedeol01",2000,0,0,0,0
43,"Redd,Michael","reddmi01",2000,1,0,0,1
44,"Cardinal,Brian","cardibr01",2000,0,0,0,0
45,"Smith,Jabari","smithja01",2000,0,0,0,0
46,"Hulett,DeeAndre",NA,2000,0,0,0,0
47,"Sesar,Josip",NA,2000,0,0,0,0
48,"Karcher,Mark",NA,2000,0,0,0,0
49,"Hart,Jason","hartja01",2000,0,0,0,0
50,"Dickens,Kaniel","dickeka01",2000,0,0,0,0
51,"Rakočević,Igor","rakocig01",2000,0,0,0,0
52,"Brown,Ernest","browner01",2000,0,0,0,0
53,"McClintock,Dan","mcclida01",2000,0,0,0,0
54,"Hightower,Cory",NA,2000,0,0,0,0
55,"Porter,Chris","portech01",2000,0,0,0,0
56,"Walls,Jaquay",NA,2000,0,0,0,0
57,"Penn,Scoonie",NA,2000,0,0,0,0
58,"Mickeal,Pete",NA,2000,0,0,0,0
1,"Brown,Kwame","brownkw01",2001,0,0,0,0
2,"Chandler,Tyson","chandty01",2001,1,0,0,1
3,"Gasol,Pau","gasolpa01",2001,6,0,2,2
4,"Curry,Eddy","curryed01",2001,0,0,0,0
5,"Richardson,Jason","richaja01",2001,0,0,0,0
6,"Battier,Shane","battish01",2001,0,0,0,0
7,"Griffin,Eddie","griffed01",2001,0,0,0,0
8,"Diop,DeSagana","diopde01",2001,0,0,0,0
9,"White,Rodney","whitero02",2001,0,0,0,0
10,"Johnson,Joe","johnsjo02",2001,7,0,0,1
11,"Brown,Kedrick","brownke01",2001,0,0,0,0
12,"Radmanović,Vladimir","radmavl01",2001,0,0,0,0
13,"Jefferson,Richard","jefferi01",2001,0,0,0,0
14,"Murphy,Troy","murphtr01",2001,0,0,0,0
15,"Hunter,Steven","huntest01",2001,0,0,0,0
16,"Haston,Kirk","hastoki01",2001,0,0,0,0
17,"Bradley,Michael","bradlmi01",2001,0,0,0,0
18,"Collins,Jason","collija04",2001,0,0,0,0
19,"Randolph,Zach","randoza01",2001,2,0,0,1
20,"Haywood,Brendan","haywobr01",2001,0,0,0,0
21,"Forte,Joseph","fortejo01",2001,0,0,0,0
22,"Sasser,Jeryl","sasseje01",2001,0,0,0,0
23,"Armstrong,Brandon","armstbr01",2001,0,0,0,0
24,"López,Raül","lopezra01",2001,0,0,0,0
25,"Wallace,Gerald","wallage01",2001,1,0,0,0
26,"Dalembert,Samuel","dalemsa01",2001,0,0,0,0
27,"Tinsley,Jamaal","tinslja01",2001,0,0,0,0
28,"Parker,Tony","parketo01",2001,6,0,3,1
30,"Hassell,Trenton","hassetr01",2001,0,0,0,0
31,"Arenas,Gilbert","arenagi01",2001,3,0,1,2
32,"Cook,Omar","cookom01",2001,0,0,0,0
33,"Solomon,Will","solomwi01",2001,0,0,0,0
34,"Morris,Terence","morrite01",2001,0,0,0,0
35,"Scalabrine,Brian","scalabr01",2001,0,0,0,0
36,"Trepagnier,Jeff","trepaje01",2001,0,0,0,0
37,"Brown,Damone","brownda02",2001,0,0,0,0
38,"Okur,Mehmet","okurme01",2001,1,0,0,0
39,"Wright,Michael",NA,2001,0,0,0,0
40,"Watson,Earl","watsoea01",2001,0,0,0,0
41,"Brewer,Jamison","breweja01",2001,0,0,0,0
42,"Simmons,Bobby","simmobo01",2001,0,0,0,0
43,"Chenowith,Eric",NA,2001,0,0,0,0
44,"Hill,Kyle",NA,2001,0,0,0,0
45,"Lampley,Sean","lamplse01",2001,0,0,0,0
46,"Woods,Loren","woodslo01",2001,0,0,0,0
47,"Cisse,Ousmane",NA,2001,0,0,0,0
48,"Fotsis,Antonis","fotsian01",2001,0,0,0,0
49,"Johnson,Ken","johnske03",2001,0,0,0,0
50,"Boumtje-Boumtje,Ruben","boumtru01",2001,0,0,0,0
51,"Ford,Alton","fordal02",2001,0,0,0,0
52,"Hutson,Andre",NA,2001,0,0,0,0
53,"Collins,Jarron","collija03",2001,0,0,0,0
54,"Satterfield,Kenny","satteke01",2001,0,0,0,0
55,"Jeffers,Maurice",NA,2001,0,0,0,0
56,"Javtokas,Robertas","javtoro01",2001,0,0,0,0
57,"Jones,Alvin","jonesal01",2001,0,0,0,0
58,"Bracey,Bryan",NA,2001,0,0,0,0
1,"Ming,Yao","mingya01",2002,8,0,2,3
2,"Williams,Jay","willija03",2002,0,0,0,0
3,"Dunleavy,Mike","dunlemi02",2002,0,0,0,0
4,"Gooden,Drew","goodedr01",2002,0,0,0,0
5,"Tskitishvili,Nikoloz","tskitni01",2002,0,0,0,0
6,"Wagner,Dajuan","wagneda02",2002,0,0,0,0
7,"Hilário,Nenê","hilarne01",2002,0,0,0,0
8,"Wilcox,Chris","wilcoch01",2002,0,0,0,0
9,"Stoudemire,Amar'e","stoudam01",2002,6,1,4,0
10,"Butler,Caron","butleca01",2002,2,0,0,0
11,"Jeffries,Jared","jeffrja01",2002,0,0,0,0
12,"Ely,Melvin","elyme01",2002,0,0,0,0
13,"Haislip,Marcus","haislma01",2002,0,0,0,0
14,"Jones,Fred","jonesfr01",2002,0,0,0,0
15,"Nachbar,Boštjan","nachbbo01",2002,0,0,0,0
16,"Welsch,Jiří","welscji01",2002,0,0,0,0
17,"Dixon,Juan","dixonju01",2002,0,0,0,0
18,"Borchardt,Curtis","borchcu01",2002,0,0,0,0
19,"Humphrey,Ryan","humphry01",2002,0,0,0,0
20,"Rush,Kareem","rushka01",2002,0,0,0,0
21,"Woods,Qyntel","woodsqy01",2002,0,0,0,0
22,"Jacobsen,Casey","jacobca01",2002,0,0,0,0
23,"Prince,Tayshaun","princta01",2002,0,0,0,0
24,"Krstić,Nenad","krstine01",2002,0,0,0,0
25,"Williams,Frank","willifr02",2002,0,0,0,0
26,"Salmons,John","salmojo01",2002,0,0,0,0
27,"Jefferies,Chris","jeffech01",2002,0,0,0,0
28,"Dickau,Dan","dickada01",2002,0,0,0,0
30,"Logan,Steve",NA,2002,0,0,0,0
31,"Mason,Roger","masonro01",2002,0,0,0,0
32,"Archibald,Robert","archiro01",2002,0,0,0,0
33,"Yarbrough,Vincent","yarbrvi01",2002,0,0,0,0
34,"Gadzuric,Dan","gadzuda01",2002,0,0,0,0
35,"Boozer,Carlos","boozeca01",2002,2,0,0,1
36,"Vujanic,Milos",NA,2002,0,0,0,0
37,"Andersen,David","anderda03",2002,0,0,0,0
38,"Maddox,Tito","maddoti01",2002,0,0,0,0
39,"Grizzard,Rod",NA,2002,0,0,0,0
40,"Navarro,Juan Carlos","navarju01",2002,0,0,0,0
41,"Kasun,Mario","kasunma01",2002,0,0,0,0
42,"Murray,Ronald","murraro01",2002,0,0,0,0
43,"Jennings,Jason",NA,2002,0,0,0,0
44,"Baxter,Lonny","baxtelo01",2002,0,0,0,0
45,"Clancy,Sam",NA,2002,0,0,0,0
46,"Barnes,Matt","barnema02",2002,0,0,0,0
47,"Sampson,Jamal","sampsja01",2002,0,0,0,0
48,"Owens,Chris","owensch01",2002,0,0,0,0
49,"Fehse,Peter",NA,2002,0,0,0,0
50,"Songaila,Darius","songada01",2002,0,0,0,0
51,"Kammerichs,Federico",NA,2002,0,0,0,0
52,"Taylor,Marcus",NA,2002,0,0,0,0
53,"Butler,Rasual","butlera01",2002,0,0,0,0
54,"Slay,Tamar","slayta01",2002,0,0,0,0
55,"Sekularac,Mladen",NA,2002,0,0,0,0
56,"Scola,Luis","scolalu01",2002,0,0,0,0
57,"Holcomb,Randy","holcora01",2002,0,0,0,0
58,"Edwards,Corsley","edwarco01",2002,0,0,0,0
1,"James,LeBron","jamesle01",2003,16,12,2,1
2,"Miličić,Darko","milicda01",2003,0,0,0,0
3,"Anthony,Carmelo","anthoca01",2003,10,0,2,4
4,"Bosh,Chris","boshch01",2003,11,0,1,0
5,"Wade,Dwyane","wadedw01",2003,13,2,3,3
6,"Kaman,Chris","kamanch01",2003,1,0,0,0
7,"Hinrich,Kirk","hinriki01",2003,0,0,0,0
8,"Ford,T.J.","fordtj01",2003,0,0,0,0
9,"Sweetney,Mike","sweetmi01",2003,0,0,0,0
10,"Hayes,Jarvis","hayesja01",2003,0,0,0,0
11,"Piétrus,Mickaël","pietrmi01",2003,0,0,0,0
12,"Collison,Nick","collini01",2003,0,0,0,0
13,"Banks,Marcus","banksma01",2003,0,0,0,0
14,"Ridnour,Luke","ridnolu01",2003,0,0,0,0
15,"Gaines,Reece","gainere01",2003,0,0,0,0
16,"Bell,Troy","belltr01",2003,0,0,0,0
17,"Čabarkapa,Žarko","cabarza01",2003,0,0,0,0
18,"West,David","westda01",2003,2,0,0,0
